Light Grey,Basic Shell Blue,Green,Obsessed,Crema Sweater B&O,Band Aid,Bicycle Helmet,Odd Shape Cup
Wheat,Basic Shell Blue,Green,Obsessed,LOL Tee,none,Bicycle Helmet,Thermos Cup
Light Green,Mushroom Shell,Green,Kawaii,Green Suit,Band Aid,Bicycle Helmet,Keep Cup
Steel Blue,Steel Vivet Shell,Green,Calm,Red Patterned Sweater,Band Aid,Bicycle Helmet,Espresso Cup
Light Green,Magma Shell,Green,Obsessed,Striped Outer Shirt,Band Aid,Bicycle Helmet,Green Mug
Light Blue,Lego Shell,Green,Obsessed,Striped Block Tee,Band Aid,Bicycle Helmet,Takeaway Cup
Lavender,Scale Armor Shell,Green,Wink,Ripped Tee,none,Bicycle Helmet,Crema Latte Cup
Light Sea,Polygon Armor Shell,Green,Obsessed,Down Jacket,none,Bicycle Helmet,Snow Top Coffee
Steel Blue,Scale Armor Shell,Green,Relaxed,Flower Casual Shirt,none,Bicycle Helmet,Green Label Takeaway
Light Sea,Winged Shell,Green,Calm,Green Sweater,none,Bicycle Helmet,Horn Cup
Wheat,Fire Shell,Green,Naughty,Flower Casual Shirt,Band Aid,Bicycle Helmet,Blue Mug
Lavender,Basic Shell Pink,Green,Wink,LOL Tee,Band Aid,Bicycle Helmet,Horn Cup
Light Green,Watermelon Shell,Green,Obsessed,Red Patterned Sweater,none,Bicycle Helmet,Keep Cup
Light Green,Digital Shell,Green,Wink,Rivet Jacket,Band Aid,Bicycle Helmet,Green Label Takeaway
Light Sea,Basic Shell Pink,Green,Relaxed,Striped Block Tee,Band Aid,Bicycle Helmet,Odd Shape Cup
Burly Wood,Basic Shell Yellow,Green,Naughty,Turtleneck Hoodie,none,Bicycle Helmet,Keep Cup
Light Grey,Fossil Vivet Shell,Green,Naughty,B&W Contrast Sweater,Band Aid,Bicycle Helmet,Horn Cup
Light Green,Watermelon Shell,Green,Kawaii,Animal Emoji Sweater,Band Aid,Bicycle Helmet,Blue Label Takeaway
Steel Blue,Globe Shell,Green,Kawaii,Burning Logo Black Tee,Band Aid,Bicycle Helmet,Iced Coffee Takeaway
Light Sea,Factory Shell,Green,Relaxed,Crema Sweater Landscape,Band Aid,Bicycle Helmet,Green Label Takeaway
